Question,Query
,
What is the total approved budget for the Noncommunicable diseases programme in the Eastern Mediterranean region at the country office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.001' AND MAJOR_OFFICE = 'EM Eastern Mediterranean' AND LEVEL = 'CO';
How much funding was received as Voluntary Contributions Thematic for the Americas region in the 2014-15 biennium?,SELECT SUM(VCT_AMOUNT) AS VoluntaryContributionsThematicAmericas FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'AM Americas' AND AWARD_TYPE = 'Voluntary Contributions Thematic';
What is the total approved budget for the Mental health and substance abuse programme in the European region at the regional office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.002' AND MAJOR_OFFICE = 'EU Europe' AND LEVEL = 'RO';
How much funding was allocated as Assessed Contributions for the Western Pacific region at the regional office level in the 2014-15 biennium?,SELECT SUM(AC_AMOUNT) AS AssessedContributionsWesternPacific FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'WP Western Pacific' AND LEVEL = 'RO' AND AWARD_TYPE = 'Assessed Contributions';
What is the total approved budget for the Noncommunicable diseases programme in the Eastern Mediterranean region at the regional office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.001' AND MAJOR_OFFICE = 'EM Eastern Mediterranean' AND LEVEL = 'RO';
How much funding was received as Core Voluntary Contributions for the Western Pacific region at the country office level in the 2014-15 biennium?,SELECT SUM(CVCA_AMOUNT) AS CoreVoluntaryContributionsWesternPacific FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'WP Western Pacific' AND LEVEL = 'CO' AND AWARD_TYPE = 'Core Voluntary Contributions';
What is the total approved budget for the Mental health and substance abuse programme in the South-East Asia region at the regional office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.002' AND MAJOR_OFFICE = 'SE South East Asia' AND LEVEL = 'RO';
How much funding was allocated as Voluntary Contributions Specified for the Eastern Mediterranean region in the 2014-15 biennium?,SELECT SUM(VCS_AMOUNT) AS VoluntaryContributionsSpecifiedEasternMediterranean FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'EM Eastern Mediterranean' AND AWARD_TYPE = 'Voluntary Contributions Specified';
What is the total approved budget for the Noncommunicable diseases programme in the Americas region at the regional office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.001' AND MAJOR_OFFICE = 'AM Americas' AND LEVEL = 'RO';
How much funding was received as Voluntary Contributions Thematic for the South-East Asia region in the 2014-15 biennium?,SELECT SUM(VCT_AMOUNT) AS VoluntaryContributionsThematicSouthEastAsia FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'SE South East Asia' AND AWARD_TYPE = 'Voluntary Contributions Thematic';
What is the total approved budget for the Mental health and substance abuse programme in the Western Pacific region at the country office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.002' AND MAJOR_OFFICE = 'WP Western Pacific' AND LEVEL = 'CO';
How much funding was allocated as Core Voluntary Contributions for the Eastern Mediterranean region at the regional office level in the 2014-15 biennium?,SELECT SUM(CVCA_AMOUNT) AS CoreVoluntaryContributionsEasternMediterranean FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'EM Eastern Mediterranean' AND LEVEL = 'RO' AND AWARD_TYPE = 'Core Voluntary Contributions';
What is the total approved budget for the Noncommunicable diseases programme in the European region at the country office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.001' AND MAJOR_OFFICE = 'EU Europe' AND LEVEL = 'CO';
How much funding was received as Voluntary Contributions Specified for the South-East Asia region in the 2014-15 biennium?,SELECT SUM(VCS_AMOUNT) AS VoluntaryContributionsSpecifiedSouthEastAsia FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'SE South East Asia' AND AWARD_TYPE = 'Voluntary Contributions Specified';
What is the total approved budget for the Mental health and substance abuse programme in the Americas region at the regional office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.002' AND MAJOR_OFFICE = 'AM Americas' AND LEVEL = 'RO';
How much funding was allocated as Assessed Contributions for the South-East Asia region at the country office level in the 2014-15 biennium?,SELECT SUM(AC_AMOUNT) AS AssessedContributionsSouthEastAsia FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'SE South East Asia' AND LEVEL = 'CO' AND AWARD_TYPE = 'Assessed Contributions';
What is the total approved budget for the Noncommunicable diseases programme in the Africa region at the regional office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.001' AND MAJOR_OFFICE = 'AF Africa' AND LEVEL = 'RO';
How much funding was received as Core Voluntary Contributions for the European region at the country office level in the 2014-15 biennium?,SELECT SUM(CVCA_AMOUNT) AS CoreVoluntaryContributionsEurope FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'EU Europe' AND LEVEL = 'CO' AND AWARD_TYPE = 'Core Voluntary Contributions';
What is the total approved budget for the Mental health and substance abuse programme in the Africa region at the country office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.002' AND MAJOR_OFFICE = 'AF Africa' AND LEVEL = 'CO';
How much funding was allocated as Voluntary Contributions Thematic for the Eastern Mediterranean region in the 2014-15 biennium?,SELECT SUM(VCT_AMOUNT) AS VoluntaryContributionsThematicEasternMediterranean FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'EM Eastern Mediterranean' AND AWARD_TYPE = 'Voluntary Contributions Thematic';
,
What is the total approved budget for the Noncommunicable diseases programme in the Americas region at the country office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.001' AND MAJOR_OFFICE = 'AM Americas' AND LEVEL = 'CO';
How much funding was received as Voluntary Contributions Specified for the Western Pacific region in the 2014-15 biennium?,SELECT SUM(VCS_AMOUNT) AS VoluntaryContributionsSpecifiedWesternPacific FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'WP Western Pacific' AND AWARD_TYPE = 'Voluntary Contributions Specified';
What is the total approved budget for the Mental health and substance abuse programme in the European region at the country office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.002' AND MAJOR_OFFICE = 'EU Europe' AND LEVEL = 'CO';
How much funding was allocated as Assessed Contributions for the Eastern Mediterranean region at the country office level in the 2014-15 biennium?,SELECT SUM(AC_AMOUNT) AS AssessedContributionsEasternMediterranean FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'EM Eastern Mediterranean' AND LEVEL = 'CO' AND AWARD_TYPE = 'Assessed Contributions';
What is the total approved budget for the Noncommunicable diseases programme in the South-East Asia region at the country office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.001' AND MAJOR_OFFICE = 'SE South East Asia' AND LEVEL = 'CO';
How much funding was received as Core Voluntary Contributions for the Americas region at the regional office level in the 2014-15 biennium?,SELECT SUM(CVCA_AMOUNT) AS CoreVoluntaryContributionsAmericas FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'AM Americas' AND LEVEL = 'RO' AND AWARD_TYPE = 'Core Voluntary Contributions';
What is the total approved budget for the Mental health and substance abuse programme in the Africa region at the regional office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.002' AND MAJOR_OFFICE = 'AF Africa' AND LEVEL = 'RO';
How much funding was allocated as Voluntary Contributions Specified for the Europe region in the 2014-15 biennium?,SELECT SUM(VCS_AMOUNT) AS VoluntaryContributionsSpecifiedEurope FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'EU Europe' AND AWARD_TYPE = 'Voluntary Contributions Specified';
What is the total approved budget for the Noncommunicable diseases programme in the Eastern Mediterranean region at the country office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.001' AND MAJOR_OFFICE = 'EM Eastern Mediterranean' AND LEVEL = 'CO';
How much funding was received as Voluntary Contributions Thematic for the Europe region in the 2014-15 biennium?,SELECT SUM(VCT_AMOUNT) AS VoluntaryContributionsThematicEurope FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'EU Europe' AND AWARD_TYPE = 'Voluntary Contributions Thematic';
What is the total approved budget for the Mental health and substance abuse programme in the Western Pacific region at the regional office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.002' AND MAJOR_OFFICE = 'WP Western Pacific' AND LEVEL = 'RO';
How much funding was allocated as Core Voluntary Contributions for the South-East Asia region at the regional office level in the 2014-15 biennium?,SELECT SUM(CVCA_AMOUNT) AS CoreVoluntaryContributionsSouthEastAsia FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'SE South East Asia' AND LEVEL = 'RO' AND AWARD_TYPE = 'Core Voluntary Contributions';
What is the total approved budget for the Noncommunicable diseases programme in the Africa region at the country office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.001' AND MAJOR_OFFICE = 'AF Africa' AND LEVEL = 'CO';
How much funding was received as Voluntary Contributions Specified for the Americas region in the 2014-15 biennium?,SELECT SUM(VCS_AMOUNT) AS VoluntaryContributionsSpecifiedAmericas FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'AM Americas' AND AWARD_TYPE = 'Voluntary Contributions Specified';
What is the total approved budget for the Mental health and substance abuse programme in the Eastern Mediterranean region at the country office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.002' AND MAJOR_OFFICE = 'EM Eastern Mediterranean' AND LEVEL = 'CO';
How much funding was allocated as Assessed Contributions for the Europe region at the country office level in the 2014-15 biennium?,SELECT SUM(AC_AMOUNT) AS AssessedContributionsEurope FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'EU Europe' AND LEVEL = 'CO' AND AWARD_TYPE = 'Assessed Contributions';
What is the total approved budget for the Noncommunicable diseases programme in the Europe region at the regional office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.001' AND MAJOR_OFFICE = 'EU Europe' AND LEVEL = 'RO';
How much funding was received as Core Voluntary Contributions for the Eastern Mediterranean region at the country office level in the 2014-15 biennium?,SELECT SUM(CVCA_AMOUNT) AS CoreVoluntaryContributionsEasternMediterranean FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'EM Eastern Mediterranean' AND LEVEL = 'CO' AND AWARD_TYPE = 'Core Voluntary Contributions';
What is the total approved budget for the Mental health and substance abuse programme in the South-East Asia region at the country office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.002' AND MAJOR_OFFICE = 'SE South East Asia' AND LEVEL = 'CO';
How much funding was allocated as Voluntary Contributions Thematic for the Africa region in the 2014-15 biennium?,SELECT SUM(VCT_AMOUNT) AS VoluntaryContributionsThematicAfrica FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'AF Africa' AND AWARD_TYPE = 'Voluntary Contributions Thematic';
,
What is the total approved budget for the Noncommunicable diseases programme in the Western Pacific region at the country office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.001' AND MAJOR_OFFICE = 'WP Western Pacific' AND LEVEL = 'CO';
How much funding was received as Voluntary Contributions Thematic for the Western Pacific region in the 2014-15 biennium?,SELECT SUM(VCT_AMOUNT) AS VoluntaryContributionsThematicWesternPacific FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'WP Western Pacific' AND AWARD_TYPE = 'Voluntary Contributions Thematic';
What is the total approved budget for the Mental health and substance abuse programme in the Eastern Mediterranean region at the regional office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.002' AND MAJOR_OFFICE = 'EM Eastern Mediterranean' AND LEVEL = 'RO';
How much funding was allocated as Assessed Contributions for the Americas region at the country office level in the 2014-15 biennium?,SELECT SUM(AC_AMOUNT) AS AssessedContributionsAmericas FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'AM Americas' AND LEVEL = 'CO' AND AWARD_TYPE = 'Assessed Contributions';
What is the total approved budget for the Noncommunicable diseases programme in the Africa region at the regional office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.001' AND MAJOR_OFFICE = 'AF Africa' AND LEVEL = 'RO';
How much funding was received as Core Voluntary Contributions for the Europe region at the regional office level in the 2014-15 biennium?,SELECT SUM(CVCA_AMOUNT) AS CoreVoluntaryContributionsEurope FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'EU Europe' AND LEVEL = 'RO' AND AWARD_TYPE = 'Core Voluntary Contributions';
What is the total approved budget for the Mental health and substance abuse programme in the Americas region at the country office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.002' AND MAJOR_OFFICE = 'AM Americas' AND LEVEL = 'CO';
How much funding was allocated as Voluntary Contributions Specified for the South-East Asia region in the 2014-15 biennium?,SELECT SUM(VCS_AMOUNT) AS VoluntaryContributionsSpecifiedSouthEastAsia FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'SE South East Asia' AND AWARD_TYPE = 'Voluntary Contributions Specified';
What is the total approved budget for the Noncommunicable diseases programme in the Eastern Mediterranean region at the regional office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.001' AND MAJOR_OFFICE = 'EM Eastern Mediterranean' AND LEVEL = 'RO';
How much funding was received as Voluntary Contributions Thematic for the Americas region in the 2014-15 biennium?,SELECT SUM(VCT_AMOUNT) AS VoluntaryContributionsThematicAmericas FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'AM Americas' AND AWARD_TYPE = 'Voluntary Contributions Thematic';
What is the total approved budget for the Mental health and substance abuse programme in the Europe region at the regional office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.002' AND MAJOR_OFFICE = 'EU Europe' AND LEVEL = 'RO';
How much funding was allocated as Core Voluntary Contributions for the Africa region at the country office level in the 2014-15 biennium?,SELECT SUM(CVCA_AMOUNT) AS CoreVoluntaryContributionsAfrica FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'AF Africa' AND LEVEL = 'CO' AND AWARD_TYPE = 'Core Voluntary Contributions';
What is the total approved budget for the Noncommunicable diseases programme in the Americas region at the regional office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.001' AND MAJOR_OFFICE = 'AM Americas' AND LEVEL = 'RO';
How much funding was received as Voluntary Contributions Specified for the Europe region in the 2014-15 biennium?,SELECT SUM(VCS_AMOUNT) AS VoluntaryContributionsSpecifiedEurope FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'EU Europe' AND AWARD_TYPE = 'Voluntary Contributions Specified';
What is the total approved budget for the Mental health and substance abuse programme in the South-East Asia region at the regional office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.002' AND MAJOR_OFFICE = 'SE South East Asia' AND LEVEL = 'RO';
How much funding was allocated as Assessed Contributions for the Western Pacific region at the country office level in the 2014-15 biennium?,SELECT SUM(AC_AMOUNT) AS AssessedContributionsWesternPacific FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'WP Western Pacific' AND LEVEL = 'CO' AND AWARD_TYPE = 'Assessed Contributions';
What is the total approved budget for the Noncommunicable diseases programme in the South-East Asia region at the regional office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.001' AND MAJOR_OFFICE = 'SE South East Asia' AND LEVEL = 'RO';
How much funding was received as Core Voluntary Contributions for the Western Pacific region at the regional office level in the 2014-15 biennium?,SELECT SUM(CVCA_AMOUNT) AS CoreVoluntaryContributionsWesternPacific FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'WP Western Pacific' AND LEVEL = 'RO' AND AWARD_TYPE = 'Core Voluntary Contributions';
What is the total approved budget for the Mental health and substance abuse programme in the Western Pacific region at the country office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.002' AND MAJOR_OFFICE = 'WP Western Pacific' AND LEVEL = 'CO';
How much funding was allocated as Voluntary Contributions Thematic for the South-East Asia region in the 2014-15 biennium?,SELECT SUM(VCT_AMOUNT) AS VoluntaryContributionsThematicSouthEastAsia FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'SE South East Asia' AND AWARD_TYPE = 'Voluntary Contributions Thematic';
,
What is the total approved budget for the Noncommunicable diseases programme in the Headquarters office for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.001' AND MAJOR_OFFICE = 'HQ Headquarters';
How much funding was received as Programme Support Costs for the Western Pacific region in the 2014-15 biennium?,SELECT SUM(PSC_AMOUNT) AS ProgrammeSupportCostsWesternPacific FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'WP Western Pacific' AND AWARD_TYPE = 'Programme Support Costs';
What is the total approved budget for the Mental health and substance abuse programme in the Headquarters office for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.002' AND MAJOR_OFFICE = 'HQ Headquarters';
How much funding was allocated as Flexible Funds for the Africa region in the 2014-15 biennium?,SELECT SUM(FLEXIBLE_FUNDS_AMOUNT) AS FlexibleFundsAfrica FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'AF Africa';
What is the total approved budget for the Noncommunicable diseases programme in the Special Programmes segment for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Special Programmes' AND PROGRAMME_SERIAL_NO = '02.001';
How much funding was received as Voluntary Contributions Specified for the Headquarters office in the 2014-15 biennium?,SELECT SUM(VCS_AMOUNT) AS VoluntaryContributionsSpecifiedHeadquarters FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'HQ Headquarters' AND AWARD_TYPE = 'Voluntary Contributions Specified';
What is the total approved budget for the Mental health and substance abuse programme in the Special Programmes segment for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Special Programmes' AND PROGRAMME_SERIAL_NO = '02.002';
How much funding was allocated as Core Voluntary Contributions for the Headquarters office in the 2014-15 biennium?,SELECT SUM(CVCA_AMOUNT) AS CoreVoluntaryContributionsHeadquarters FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'HQ Headquarters' AND AWARD_TYPE = 'Core Voluntary Contributions';
